id,created_at,hash,provider,job_id,price,size,title,image_url,description,address_full,link,numeric_price,numeric_size,price_per_sqm,numeric_rooms,year_built,last_refurbishment_year,condition,interior_quality,flat_type,street,zip_code,city,energy_class,heating_type,energy_source,service_charge,additional_purchase_costs,has_balcony,has_garden,has_kitchen,has_cellar,has_lift,is_barrier_free,price_indicator_percent,published_text,is_private,is_active,change_set
XgG3SqBKqSz3-NRNhb1-G,1761155996883,614c276603c03b960a55a95851035bb494e92215b447777553d9a3f597954533,immoscout,Azq45Wjpu4_oVRN8tTeXa,623.000 €,161 m² m²,Exklusives Penthouse mit ELW in Bestlage - 3 Dachterrassen und traumhafter Ausblick in Heilbronn Ost,https://pictures.immobilienscout24.de/listings/32bc2eaf-ac3f-4b92-9a1b-16c6b98c9727-1945846808.jpg/ORIG/resize/800x600>/format/webp/quality/20,NULL,"74074 Heilbronn, Heilbronner Kernstadt (unvollständige Adresse)",https://www.immobilienscout24.de/expose/162076845,623000.0,161.0,3869.57,6.5,1991,2025,Modernisiert,Gehoben,Penthouse,no information,74074,Heilbronn,NULL,Ölheizung,Öl,NULL,43610.0,1,0,1,0,0,0,NULL,vor 16 Tagen,1,1,NULL
ajtO_4GSXTyflmJ2bq5TB,1761155996883,47f46570f1cad3170905ce5d04f0d3fa96cf8d229dcc4b28ebfe96d2beff6945,immoscout,Azq45Wjpu4_oVRN8tTeXa,1.190.000 €,190 m² m²,"PENTHOUSE-PERFEKTION: LAGE, LOOK, LEBENSQUALITÄT!",https://pictures.immobilienscout24.de/listings/e384d321-25b8-4003-ac5f-55b1e6425bf1-1944379030.jpg/ORIG/resize/800x600>/format/webp/quality/20,NULL,"74072 Heilbronn, Heilbronner Kernstadt (unvollständige Adresse)",https://www.immobilienscout24.de/expose/161969766,1190000.0,190.0,6263.16,4.0,2015,NULL,Neuwertig,Luxus,Penthouse,no information,74072,Heilbronn,A_PLUS,NULL,Strom,700.0,125783.0,1,1,1,1,1,1,NULL,vor 21 Tagen,0,1,NULL
9YQZsr4n6Mo-lubGXPBlm,1761155996883,90ff8289dffe211035db87e04a31fe749579fbe597834f84c0392a830429a323,immoscout,Azq45Wjpu4_oVRN8tTeXa,225.000 €,62 m² m²,"Behaglichkeit pur: Attraktive 2,5-Zi.-Whg. mit Balkon nähe Stadtpark",https://pictures.immobilienscout24.de/listings/f4248daf-aa48-4a82-8a72-84c91e05eb79-1944099113.jpg/ORIG/resize/800x600>/format/webp/quality/20,NULL,"74076 Heilbronn, Heilbronner Kernstadt (unvollständige Adresse)",https://www.immobilienscout24.de/expose/161952550,225000.0,62.0,3629.03,2.5,1990,NULL,Gepflegt,Normal,no_information,no information,74076,Heilbronn,C,Zentralheizung,Öl,NULL,23783.0,1,0,0,1,1,0,0.29,vor 22 Tagen,0,1,NULL
RrfuEW1aZO_HJ1E_CPBc8,1761155996884,c2034bbd04a3a4e7ec06c23519a17baee42c86ba86021669e0009f34a33b41ad,immoscout,Azq45Wjpu4_oVRN8tTeXa,980.000 €,150 m² m²,Exklusives Wohnerlebnis im Neckarbogen: Moderne 5-Zimmer-Maisonette mit Dachterrasse & Tiefgarage,https://pictures.immobilienscout24.de/listings/b98d6dc2-3376-43aa-95f8-973e0fd0358d-1944067552.jpg/ORIG/resize/800x600>/format/webp/quality/20,NULL,"74076 Heilbronn, Heilbronner Kernstadt (unvollständige Adresse)",https://www.immobilienscout24.de/expose/161949947,980000.0,150.0,6533.33,5.0,2019,2019,Neuwertig,Gehoben,Maisonette,no information,74076,Heilbronn,NULL,Fußbodenheizung,Fernwärme,600.0,103586.0,1,0,1,1,1,1,0.55,vor 22 Tagen,0,1,NULL
dCkn-IpToIH09GsTmBwmJ,1761155996884,5edb0e9e26f1bb359f22db77a206ec8f54ba8c00b143aa601867b69070b8c569,immoscout,Azq45Wjpu4_oVRN8tTeXa,420.000 €,86 m² m²,"PROVISIONSFREI: Stilvolle, modernisierte 2,5-Zimmer-Wohnung mit Balkon und EBK",https://pictures.immobilienscout24.de/listings/9ef5cb44-4d81-4eb3-822d-7871ad72526c-1941932058.jpg/ORIG/resize/800x600>/format/webp/quality/20,NULL,"Am Wollhaus 05, 74072 Heilbronn, Heilbronner Kernstadt",https://www.immobilienscout24.de/expose/161820329,420000.0,86.0,4883.72,2.5,NULL,NULL,Modernisiert,Gehoben,Etagenwohnung,Am Wollhaus,74072,Heilbronn,NULL,Etagenheizung,Keine Angabe,NULL,29400.0,1,0,1,0,0,0,0.55,vor 24 Tagen,1,1,NULL
5LoeWNrU7qicJhH4lFfrs,1761155996884,829b418e778bb1f682180e6fcdef5decdc5e532c57438670b85ef17b4556807c,immoscout,Azq45Wjpu4_oVRN8tTeXa,448.000 €,83 m² m²,"Stadtvilla am Lindenpark, im beliebten Osten von Heilbronn",https://pictures.immobilienscout24.de/listings/33919e28-05ed-4241-a650-b99de4be4c89-1941582376.jpg/ORIG/resize/800x600>/format/webp/quality/20,NULL,"Friedhofstraße 43, 74074 Heilbronn, Heilbronner Kernstadt",https://www.immobilienscout24.de/expose/161606659,448000.0,83.0,5397.59,3.0,1998,2025,Saniert,Gehoben,Etagenwohnung,Friedhofstraße,74074,Heilbronn,D,Gas-Heizung,Gas,317.0,31360.0,1,0,0,1,1,0,0.75,vor 25 Tagen,1,1,NULL
8R058Tf9HEdZddTR3zwC5,1761155996884,cd56d65e8eedefb9fbf65d2e71729406ee79ae633970c84d94072b0aaf153ba2,immoscout,Azq45Wjpu4_oVRN8tTeXa,90.000 €,25 m² m²,Ein-Zimmer-Appartement in HN- Böckingen zu verkaufen,https://pictures.immobilienscout24.de/listings/762d32bf-213f-4af7-ac84-f2cfe14e541a-1942651629.png/ORIG/resize/800x600>/format/webp/quality/20,NULL,"Keilstr. 8, 74080 Heilbronn, Böckingen",https://www.immobilienscout24.de/expose/161869649,90000.0,25.0,3600.0,1.0,NULL,2021,Saniert,Normal,Etagenwohnung,Keilstr.,74080,Heilbronn,NULL,Etagenheizung,Gas,145.0,6300.0,0,0,1,1,0,0,0.06,vor einem Monat,0,1,NULL
3YWV4s9Yn-w7cJc8gPxMR,1761155996884,fc3d8da30c44f6e9ab0d3a417b12788e1e4a40bc2efa9e65ef978ef92359326d,immoscout,Azq45Wjpu4_oVRN8tTeXa,Auf Anfrage,59 m² m²,Otthello - Wohnen am Theater Heilbronn,https://pictures.immobilienscout24.de/listings/f2e29e23-3d69-4acf-bb9c-ce488c41628b-1871314128.jpg/ORIG/resize/800x600>/format/webp/quality/20,NULL,"Allee 82, 74072 Heilbronn, Heilbronner Kernstadt",https://www.immobilienscout24.de/expose/132370196,NULL,59.0,NULL,2.0,2024,NULL,Erstbezug,Gehoben,Etagenwohnung,Allee,74072,Heilbronn,NULL,Fernwärme,Fernwärme,NULL,NULL,0,0,1,0,1,1,NULL,vor einem Monat,0,1,NULL
4WLLQXTf1X-yUdJa3J1ib,1761155996884,dd020354bf76d511f286002d3adfab32c3230d7f12d3fc80a25df948685aec33,immoscout,Azq45Wjpu4_oVRN8tTeXa,340.000 €,85 m² m²,Hochwertige 3-Zimmer Wohnung mit Balkon und Garage in Heilbronner Kernstadt,https://pictures.immobilienscout24.de/listings/950cd7e1-9be2-450f-b16f-34f09e8acdda-1941594375.jpg/ORIG/resize/800x600>/format/webp/quality/20,NULL,"Nordbergstraße 25, 74076 Heilbronn, Heilbronner Kernstadt",https://www.immobilienscout24.de/expose/161795510,340000.0,85.0,4000.0,3.0,2016,NULL,Gepflegt,no_information,Etagenwohnung,Nordbergstraße,74076,Heilbronn,NULL,Blockheizkraftwerk,Gas,NULL,37910.0,1,0,1,1,1,1,0.19,vor einem Monat,0,1,NULL
ZJCZra22v6lizAmYXX7Vw,1761155996884,c49d0e5b0bd1a2a90e316d2b64c9126cda9b7a463f2e155774d498443df90ee2,immoscout,Azq45Wjpu4_oVRN8tTeXa,158.000 €,37 m² m²,Helle Wohnung mit großem Balkon in Top-Lage,https://pictures.immobilienscout24.de/listings/a29946e4-3fb3-4752-b3d3-c3c8e50a6839-1941562568.jpeg/ORIG/resize/800x600>/format/webp/quality/20,NULL,"74074 Heilbronn, Heilbronner Kernstadt (unvollständige Adresse)",https://www.immobilienscout24.de/expose/161793138,158000.0,37.0,4270.27,1.0,1989,NULL,no_information,no_information,Etagenwohnung,no information,74074,Heilbronn,G,Zentralheizung,Gas,274.39,17641.0,1,1,0,1,1,0,0.35,vor einem Monat,0,1,NULL
